time	hru_ea(1)	hru_ea(2)	hru_ea(3)	hru_ea(4)	hru_ea(5)	hru_ea(6)	hru_ea(7)	hru_ea(8)	hru_ea(9)	hru_ea(10)	hru_ea(11)	hru_ea(12)	hru_ea(13)	hru_ea(14)	hru_ea(15)	hru_ea(16)	hru_ea(17)	hru_ea(18)	hru_ea(19)	hru_ea(20)	hru_ea(21)	hru_ea(22)	hru_ea(23)	hru_ea(24)	hru_ea(25)	hru_ea(26)	hru_ea(27)	hru_ea(28)	hru_ea(29)	hru_ea(30)	hru_ea(31)	hru_ea(32)	hru_ea(33)	hru_ea(34)	hru_ea(35)	hru_ea(36)	hru_ea(37)	hru_ea(38)	hru_ea(39)	hru_ea(40)	hru_ea(41)	hru_ea(42)	hru_ea(43)	hru_ea(44)	hru_ea(45)	hru_ea(46)	hru_ea(47)	hru_ea(48)
units	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)	(kPa)
2022-03-02T17:00	0.1811705	0.1773829	0.1859776	0.2014763	0.191021	0.1704776	0.1924393	0.2113964	0.2374778	0.1913499	0.1997903	0.2356679	0.1555549	0.26958	0.2762847	0.2732069	0.2640809	0.178312	0.1712819	0.1854329	0.2058722	0.3192517	0.174203	0.1994619	0.3132425	0.264603	0.3197127	0.3154657	0.1994255	0.2051236	0.2014964	0.2053003	0.2364866	0.1737092	0.3357006	0.1782099	0.2732069	0.1665762	0.3381731	0.1501548	0.3179969	0.163835	0.183699	0.1674524	0.1741235	0.1768186	0.2367793	0.2087735
2022-03-02T18:00	0.1824502	0.1783358	0.1876826	0.2046113	0.1931801	0.1708474	0.194729	0.215496	0.2442766	0.1935393	0.2027665	0.2422704	0.1547426	0.2799886	0.2874851	0.2840423	0.2738489	0.1793435	0.171719	0.1870887	0.2094312	0.3357887	0.1748848	0.2024057	0.3290067	0.2744332	0.3363118	0.3315158	0.2023672	0.2086101	0.204635	0.2088031	0.2431771	0.1743488	0.3543979	0.1792319	0.2840423	0.1666277	0.3571995	0.1489417	0.3343721	0.1636663	0.1852005	0.1675755	0.1747978	0.1777231	0.2435004	0.2126144
2022-03-02T19:00	0.1837143	0.1792709	0.1893761	0.2077582	0.1953335	0.171198	0.1970152	0.2196307	0.2512006	0.1957235	0.2057514	0.2489903	0.1539189	0.2906884	0.2990189	0.2951915	0.2838753	0.1803576	0.172137	0.1887325	0.2130117	0.3529871	0.1755479	0.2053576	0.3453806	0.2845249	0.3535766	0.3481945	0.2053168	0.2121164	0.2077856	0.2123259	0.2499884	0.1749694	0.3739078	0.1802366	0.2951915	0.1666606	0.3770624	0.1477236	0.3513977	0.1634799	0.1866885	0.1676798	0.1754533	0.1786096	0.2503435	0.2164837
2022-03-02T20:00	0.2100369	0.204981	0.2164732	0.2373808	0.2232515	0.1957964	0.2251655	0.2508742	0.286746	0.223695	0.2350994	0.2842373	0.1761333	0.3316005	0.3410593	0.3367076	0.3238669	0.2062174	0.1968636	0.2157426	0.2433519	0.4023171	0.2007479	0.2346465	0.3936869	0.3245992	0.4029769	0.3968835	0.2346049	0.2423334	0.237407	0.2425743	0.285378	0.2000913	0.4260486	0.2060828	0.3367147	0.1906319	0.4296328	0.1690798	0.4005098	0.1870143	0.2134202	0.1917918	0.2006391	0.2042294	0.2857798	0.2473003
2022-03-02T21:00	0.2331862	0.2276004	0.2402904	0.2633802	0.247779	0.2174543	0.2498943	0.2782706	0.3178465	0.2482687	0.2608621	0.315082	0.1957275	0.3673167	0.3777446	0.3729403	0.3587935	0.2289663	0.2186319	0.2394852	0.26997	0.4452554	0.222927	0.2603564	0.4357485	0.3595948	0.445972	0.4392742	0.2603157	0.2688448	0.2634037	0.2691137	0.3163478	0.2222035	0.4713925	0.2288211	0.3729563	0.2117466	0.4753463	0.1879299	0.44326	0.2077515	0.2369233	0.2130283	0.2228054	0.226771	0.3167892	0.2743297
2022-03-02T22:00	0.2533864	0.247347	0.2610604	0.2860154	0.2691569	0.2363781	0.2714448	0.3020962	0.3448253	0.2696862	0.2832954	0.341844	0.2128835	0.3982196	0.4094698	0.4042793	0.3890272	0.2488236	0.2376497	0.2601918	0.2931325	0.4822798	0.2422977	0.2827427	0.4720314	0.3898849	0.483041	0.4758369	0.2827046	0.2919161	0.2860347	0.29221	0.3432189	0.2415175	0.5104499	0.2486705	0.4043054	0.2302046	0.5147184	0.2044473	0.4801237	0.2258868	0.2574261	0.2315906	0.2421647	0.2464512	0.3436934	0.2978437
2022-03-02T23:00	0.3315269	0.3245793	0.3403353	0.3687646	0.3495868	0.3119127	0.3521952	0.3869598	0.4348006	0.3501897	0.3656772	0.4314797	0.2845627	0.4937429	0.506051	0.5003849	0.4836561	0.3262761	0.3133854	0.3393379	0.3768334	0.5849645	0.3187527	0.3650592	0.5739317	0.4845953	0.5857872	0.5780366	0.3650098	0.3754554	0.3687895	0.3757847	0.4330082	0.317855	0.6151773	0.3261045	0.5004067	0.3047595	0.619736	0.2746674	0.5826513	0.299739	0.3361621	0.3063647	0.3185993	0.3235486	0.4335443	0.3821584
2022-03-03T00:00	0.4054308	0.398112	0.4146914	0.4443445	0.4243696	0.3847166	0.4270919	0.4631978	0.5122335	0.4249979	0.4411355	0.5088461	0.3555584	0.5717875	0.5841079	0.5784514	0.5616584	0.3998963	0.386279	0.4136418	0.4527227	0.662359	0.3919534	0.4405061	0.6514942	0.5625985	0.6631738	0.6555465	0.4404463	0.451293	0.4443746	0.4516296	0.510401	0.3910086	0.6919986	0.3997221	0.5784641	0.3771274	0.69645	0.34493	0.6600908	0.3717802	0.4103006	0.3788286	0.3917913	0.3970265	0.5109581	0.4582336
2022-03-03T01:00	0.4752458	0.4680593	0.484324	0.5131467	0.4937576	0.454854	0.4964048	0.5313581	0.5781908	0.4943674	0.5100377	0.5749696	0.425875	0.6342491	0.6457339	0.6404795	0.6247743	0.4698064	0.4563996	0.483293	0.5212585	0.7179945	0.4619895	0.5094458	0.7080321	0.6256494	0.7187478	0.7117595	0.5093762	0.5198751	0.5131817	0.520194	0.5764424	0.4610643	0.7450677	0.4696444	0.6404795	0.4473501	0.7491122	0.4152353	0.7159265	0.4420396	0.4800136	0.4490289	0.4618298	0.4669944	0.5769858	0.5265735
2022-03-03T02:00	0.4442415	0.4374109	0.4528493	0.4803167	0.461826	0.4248527	0.4643738	0.4976212	0.5422799	0.46243	0.4773321	0.5392136	0.3973346	0.5957723	0.606752	0.6017211	0.5867302	0.4390795	0.4263309	0.4518822	0.4880003	0.6758211	0.43163	0.4767764	0.6662887	0.5875543	0.676532	0.6698495	0.476711	0.4867012	0.4803496	0.4870007	0.5405988	0.4307627	0.7017369	0.4388972	0.6017211	0.4177039	0.7056017	0.3872103	0.6738697	0.4126997	0.448775	0.4193352	0.4314804	0.4363823	0.5411099	0.4930593
